Rk,Player,,,Team,Conf,Min%,PRPG!,BPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,,3P/100,3P,
1152,Sr,5-8,Skylar Burke,UC Santa Barbara,BW,47.2,1.6,0.6,92.9,87.6,22.9,45.5,54.1,6.9,16.9,18.5,28.3,2.6,2.1,50,49-97,0.505,4,8-37,0.216
1153,Sr,6-3,Oralye Kiefer,Merrimack,MAAC,68.2,1.6,0.1,97.3,97.4,19.1,44.6,48.3,6.7,13.5,10.1,17.7,8.2,1.1,19.6,83-180,0.461,6.6,28-100,0.28
1154,So,5-6,Taija Sta. Maria,Pepperdine,WCC,75.9,1.6,-1.3,98.6,98.9,15.5,49.7,56,0.9,6.6,21.7,28.1,0.5,1.2,37.9,68-131,0.519,2.9,15-51,0.294
1155,Sr,6-2,Marah Dykstra,Michigan St.,B10,26.9,1.6,6.4,124.9,84.3,12.6,55.7,57.5,7.2,9.8,8.9,11.4,2.2,2.1,15.2,17-33,0.515,7.3,18-46,0.391
1156,Jr,6-3,Fatima Ibrahim,Dayton,A10,49.3,1.6,2.2,99.1,90.6,19.8,60.7,62.6,14.2,21,2.8,30.6,8.8,1.4,46.9,88-145,0.607,0,0-0,0
1157,Jr,6-0,Daisia Mitchell,Appalachian St.,SB,69.9,1.6,0.4,86.9,92.7,24.5,45.2,48.1,5.6,10.8,18,24.6,1.7,3.1,21,87-194,0.448,5.9,24-78,0.308
1158,Sr,5-11,Bailey Kuhns,Robert Morris,Horz,57.8,1.6,-2.9,93.9,96.4,25.9,46.5,50.1,12.1,13.2,11.7,20.2,1.2,0.6,26.5,108-225,0.48,1.8,4-20,0.2
1159,Sr,5-9,Promise Keshi,Stetson,ASun,70.8,1.6,2.9,97.9,93.3,17.1,53.3,55.2,6.8,17.3,15.5,27.4,4.6,3.8,8.5,90-160,0.563,2.7,11-40,0.275
1160,Sr,5-6,Adriana Jones,Jacksonville St.,CUSA,70.4,1.6,-1.9,93.2,100.9,21.5,43.1,47.6,6.4,5.9,10.9,20.3,0.5,1.5,24.1,66-158,0.418,7.6,31-103,0.301
1161,Sr,5-6,Sierra Godbolt,Samford,SC,64,1.6,-4.1,87.4,108.1,26.7,41.5,47.7,2.2,4.3,29.4,23.3,0.1,2.4,34.8,85-213,0.399,4.2,18-57,0.316
1162,So,6-2,Evalyse Cole,Toledo,MAC,52.7,1.6,2.5,101.4,90.3,16.6,48.8,52.6,8,15.3,11.9,21,2.5,1.5,24.5,66-111,0.595,4.6,9-52,0.173
1163,So,6-2,Jite Gbemuotor,Cal St. Northridge,BW,52.3,1.6,2.6,96.4,86,22.9,53.1,54.5,13.1,26.7,6,21.6,5.5,3,29.1,95-178,0.534,3.2,12-35,0.343
1164,Sr,5-6,Jaylia Reed,Southern,SWAC,59.4,1.6,1.2,105.2,97.8,15.7,50.5,53.3,1.9,8,11.9,16.1,0.1,1.7,19.4,22-52,0.423,12.1,58-164,0.354
1165,Sr,5-11,Sauda Ntaconayigize,Lafayette,Pat,69.5,1.6,-1.4,100,107.2,16.2,49.3,52.2,3.6,6.1,9.2,14.9,1.3,1.7,16.1,29-82,0.354,9.5,50-129,0.388
1166,Fr,6-2,Nohealani Stores,UC Irvine,BW,34.6,1.6,1.5,112.2,86,19.3,55.7,59.7,10.6,15.7,2.6,16.1,2.4,3.5,54.9,68-121,0.562,0.1,0-1,0
1167,Jr,6-4,Riley Rismiller,Kent St.,MAC,61.9,1.6,-0.6,97.9,95.6,17.3,48.9,54.3,7.7,17,5,24.2,2.9,0.6,38.4,86-170,0.506,1.2,3-15,0.2
1168,Sr,6-0,Kayla Williams,Northern Arizona,BSky,29,1.6,1.1,109.9,101.7,21.4,59.5,65.3,4.8,17.8,8.9,21.5,1.2,1.2,48.6,42-75,0.56,5.5,16-36,0.444
1169,Fr,5-10,Kendall McGee,Creighton,BE,53.6,1.6,0.7,87.1,90.6,23.5,43.8,46,5.6,14.5,25.6,25.4,0.8,2.2,23.2,64-148,0.432,5.4,19-63,0.302
1170,Jr,5-7,Cassidy Geddes,William & Mary,CAA,85.7,1.6,0.4,87.3,94.5,24.8,41,43.1,2.3,8,17.2,16.2,1.6,3.2,11.5,97-242,0.401,12.1,59-210,0.281
1171,Fr,5-8,Jocelyne Grier,Boston College,ACC,55.7,1.6,-1.6,85.6,102.9,25.1,39.3,41.9,2.6,9.7,6.5,10.4,0.3,2,13.2,68-183,0.372,12.9,44-158,0.278
1172,Jr,5-10,La'Nya Foster,Georgia Tech,ACC,56.1,1.6,1.4,90.7,84.9,19.7,43.6,46.2,5.6,9.2,13.7,17.3,0.3,2.1,14.1,74-172,0.43,6.2,25-84,0.298
1173,Sr,6-3,Maranda Nyborg,Bryant,AE,73,1.6,0.1,94.9,90.2,20.7,50.6,53.4,3.7,13.1,15.9,23,3.3,1.2,21.9,125-244,0.512,0.2,0-3,0
1174,Jr,6-0,Kaliyah Sain,Maine,AE,15.8,1.6,-1.1,95.9,93.6,21.3,42.3,46.5,7.9,14.3,9.5,12.9,1,2.4,24.6,11-24,0.458,12.5,11-41,0.268
1175,So,6-1,Demya Porter,Southern,SWAC,49,1.6,1,95,88.7,23.6,49,50.8,12.7,14.5,3.6,18.6,5.5,2.9,25.5,121-247,0.49,0,0-0,0
1176,Jr,5-6,Bella McLaughlin,Boston University,Pat,61.9,1.6,-3.8,91.8,106.8,24.4,44.2,49.7,4,9.5,29.3,25.7,0.5,2.6,50.3,74-161,0.46,2.6,7-30,0.233
1177,Jr,6-2,Jade Weathersby,Florida,SEC,27.4,1.6,5,103.8,80,18,52.5,57.3,6.5,20.2,7.2,23.4,2.2,1.2,29.4,25-49,0.51,8,19-53,0.358
1178,Sr,6-1,Nile Miller,Howard,MEAC,66.1,1.6,4.3,99.8,83.2,17,45.8,50.6,8.2,16.9,11.5,19.1,2.8,5.2,44.9,99-216,0.458,0,0-0,0
1179,Jr,6-2,Lainey Spear,Portland,WCC,58.2,1.6,1.1,89.8,86.4,22.4,45.8,47.9,6.7,11.6,18.3,20.1,0.5,3.9,41.4,106-223,0.475,2,6-28,0.214
1180,Jr,5-10,Olivia Smith,IU Indy,Horz,72.6,1.6,-1.6,92.3,96.9,22,45.7,52.7,3.6,12.1,15.9,24.7,0.9,3.4,48.8,87-185,0.47,4,17-61,0.279
1181,Sr,6-0,Shaniah Nunn,Grambling St.,SWAC,69.2,1.6,-0.3,92,91.2,23.9,43.9,47.8,9.3,19.7,6.8,19.4,2.2,3.5,32.8,143-310,0.461,1.3,1-19,0.053
1182,So,6-1,Martina Borrellas,Albany,AE,82.4,1.6,-1.4,89.7,93,21.7,49.2,50,9.2,17.3,16.7,26.7,1.2,1.8,18.9,95-176,0.54,5.4,20-78,0.256
1183,Jr,6-2,Kylie Lavelle,St. John's,BE,57.4,1.6,3.8,103.1,89.2,12.5,47.5,52.3,5.2,10.1,10,18.5,4.1,1.8,27.3,39-60,0.65,6.1,18-79,0.228
1184,So,6-4,Mallory Miller,Butler,BE,62.4,1.6,0.7,82,87,27.4,44.7,48.1,2.7,17.3,26,28.6,4.3,1,19.7,85-196,0.434,6.6,28-88,0.318
1185,Sr,5-11,Aniya Finger,North Carolina Centr,MEAC,48.6,1.6,0.6,87.8,90.9,28.7,43.4,46.4,11.4,18.2,9.7,16.8,1.1,3.6,31,98-237,0.414,3.3,13-34,0.382
1186,Fr,5-9,Skylar Durley,Nevada,MWC,77.2,1.6,-1.9,81.6,92.8,27.2,41.2,45.2,4.6,17.4,18.8,25.4,0.8,1.6,27.6,140-322,0.435,1.9,3-29,0.103
1187,So,5-11,Torri James,Western Kentucky,CUSA,66.9,1.6,-2.6,97.4,103.2,17.8,51.8,56.8,5.6,10.2,8,22.2,2.8,1.5,50,86-165,0.521,0.1,0-1,0
1188,Jr,5-11,Judit Valero,FIU,CUSA,66.3,1.6,-0.7,99.4,96.9,15.5,47.2,50.6,3.5,8.9,8.3,19.9,0.5,1.4,27.2,48-101,0.475,8.2,41-131,0.313
1189,Sr,6-0,Elli Garnett,Ohio,MAC,54.2,1.6,0.2,94.2,93,22.1,46.6,49.4,8.4,17.3,18,23.4,1.6,2.4,25.3,50-99,0.505,10.3,39-134,0.291
1190,Sr,6-2,Walker Demers,North Dakota,Sum,52.9,1.6,0,90.1,95.9,24,49.5,53.9,5.8,25.5,15.4,23.2,5.5,1.3,43.5,86-167,0.515,1.8,4-19,0.211
1191,So,5-10,Nadia Moore,Duquesne,A10,8.2,1.6,0.5,88,101.2,34.2,46.8,49.2,5.4,9.6,11.8,20.5,0,2.3,11.3,23-39,0.59,13.5,4-23,0.174
1192,So,5-6,Bella Ranallo,Ohio,MAC,55.6,1.6,-1.4,89,95.1,25.2,46.6,50.8,5,7.3,13.2,25.4,0.2,4,37.9,57-124,0.46,10.5,44-140,0.314
1193,So,5-7,Aniya Rowe,Buffalo,MAC,78.3,1.6,-1.4,84.8,97.9,26.1,42,46.7,3.5,10.9,27.2,28.7,0.7,3.3,27.4,87-223,0.39,8.1,43-138,0.312
1194,Jr,6-2,Otaifo Esenabhalu,Longwood,BSth,54.6,1.6,-1.9,101.5,90.2,20.6,53.6,58.3,18.8,23.7,5.1,27.5,2.2,2,52.4,89-166,0.536,0,0-0,0
1195,Jr,5-9,Amor Harris,Longwood,BSth,56.3,1.6,-1.9,99.5,102.3,21.6,45.1,48,1.8,4.4,10.4,14.1,0.6,1.7,13.7,81-191,0.424,8.4,34-102,0.333
1196,Jr,5-9,Carla Viegas,Pittsburgh,ACC,55,1.6,0.9,96.2,101.4,17.6,50.4,51.3,1.6,5.9,7.7,16,0.5,1.9,4,14-42,0.333,15.5,66-182,0.363
1197,Fr,5-11,Hailee Swain,Stanford,ACC,74.2,1.6,-0.4,84.8,85.9,21.6,42.2,45,2.1,8.6,9.1,22.6,0.4,2,14.8,127-289,0.439,4.6,20-83,0.241
1198,Fr,6-0,Haylie Adamski,Lafayette,Pat,68.2,1.6,-1,99.5,103.3,18.3,53.2,54.6,2.4,8.8,7.3,15.2,0.9,2.7,10.5,34-74,0.459,12.9,65-173,0.376
1199,So,5-10,Grace Knutson,Drake,MVC,58.6,1.6,-1,97.8,102.4,20.2,49,52.5,5,10.2,14,21.9,0.4,1.5,20.2,65-158,0.411,6.9,39-94,0.415
1200,Sr,5-8,Chana Paxixe,High Point,BSth,48.9,1.6,2,108.6,87.8,17.8,51.9,58.1,9.1,16.5,12.4,20.4,1.1,3.7,59,56-102,0.549,2.9,9-32,0.281
1201,Sr,6-1,Savannah Samuel,Georgia Tech,ACC,46.2,1.6,1.4,91.7,86.4,20.9,44.7,51.2,3.4,7.2,8.1,20.6,0.9,1.6,39.4,60-132,0.455,5.9,19-66,0.288
1202,So,5-9,Molly Masingale,Wofford,SC,64.1,1.6,0.4,100.1,100.3,16.1,45.5,52.1,3,10.6,9.3,18.6,1.9,1.5,50,25-58,0.431,7.8,27-86,0.314
1203,So,5-11,Nayli Padilla,New Mexico,MWC,62.2,1.6,2.8,97,89.6,18.4,47.5,49.9,1.3,12,14.7,21.7,1,3,16.7,36-92,0.391,10.7,52-148,0.351
1204,Jr,6-1,Louis Volker,George Mason,A10,60.1,1.6,1.6,102.6,85.9,14.1,50.3,52.4,8.7,12.9,4.7,20.9,3.5,1.5,10,53-107,0.495,5.4,25-73,0.342
1205,Jr,6-4,Riley Stack,Old Dominion,SB,50,1.6,4.4,97.9,85.9,20,46.3,51.1,6.5,17.5,8.6,20.4,11,1.8,34.1,86-173,0.497,2.8,6-32,0.188
1206,Sr,6-0,Abby Wolterman,Northern Kentucky,Horz,51.9,1.6,-0.8,103.8,96,17.4,50.9,53.9,13.4,17.4,6.8,20.7,1.9,1.6,33.3,81-152,0.533,1.1,2-13,0.154
1207,Jr,6-1,Emily Foy,Saint Mary's,WCC,29.3,1.6,-0.2,94,96,19.8,52.3,54.3,2.4,11.5,13.2,24.1,0.7,1.2,14.8,37-65,0.569,7.3,13-43,0.302
1208,Sr,5-10,Nya Epps,UC Davis,BW,81.3,1.6,-3.6,85.8,97.8,24.7,44,48.2,3.3,10.8,11,22,0.9,2,21.4,102-235,0.434,9.1,50-167,0.299
1209,Sr,5-7,Cam Mathews,Tennessee Tech,OVC,75.8,1.6,-2.2,101.2,102.2,14.8,47.8,52.8,3.9,7.1,12.9,25.1,0.2,1.8,21.6,36-73,0.493,8,35-112,0.313
1210,Sr,6-0,Koi Sims,Loyola MD,Pat,65,1.6,-1.2,94.9,96.8,21.2,50.2,49.5,13.1,23.5,16.3,20.5,2.9,1.2,19.2,107-215,0.498,1.5,7-19,0.368
1211,So,6-0,Violet McNece,Morehead St.,OVC,57.5,1.6,1.9,98.8,95.8,18.8,55.9,57.9,1.8,12.8,11.2,20.2,3.6,2,14.1,34-71,0.479,12.1,62-156,0.397
1212,Fr,6-0,Makena Christian,Minnesota,B10,23.5,1.6,5.3,120.8,80.7,14.6,51.8,55,3.2,7.9,6.9,7.8,0,2.3,26.2,9-18,0.5,12.6,23-66,0.348
1213,Sr,5-10,Jordan Reid,Purdue Fort Wayne,Horz,77.5,1.6,2.6,91.5,87.3,20.6,42.8,46.4,3.6,13.8,11.6,14.5,1,4.1,34.7,113-253,0.447,4.2,20-81,0.247
1214,Fr,5-9,Aina Cargol,San Francisco,WCC,79.3,1.6,-0.9,89.7,92.9,19.9,43.8,48.6,2,9.8,28.3,28.5,0.2,2,35.3,61-161,0.379,6.2,42-122,0.344
1215,Sr,6-2,Marie Kenembeni,Nicholls St.,Slnd,49.6,1.6,2,97.6,92,25.7,46.4,51.4,7,16.5,7.6,17.5,3.7,3.2,34,98-210,0.467,3.5,11-37,0.297
1216,So,6-1,Brenae Jones-Grant,Queens,ASun,54.7,1.5,1,100.9,97.4,18.8,53.5,55.5,9.8,18.6,9.4,20.6,2.2,3.5,30.6,58-107,0.542,5.8,22-63,0.349
1217,Jr,5-8,Nicole Melious,Siena,MAAC,78,1.5,-1.3,98.4,100.9,17.8,45.6,48.9,2.7,11.4,14.2,20.8,0.4,2,14.2,59-124,0.476,11,55-186,0.296
1218,So,5-6,Shawnee Nordstrom,Cal Baptist,WAC,63.3,1.5,-0.2,96,94.1,18.5,46.2,48.2,4.7,8.5,11.5,16.1,0.6,2.5,11,78-154,0.506,8.6,38-138,0.275
1219,Sr,5-11,Anisa Jeffries,Grand Canyon,MWC,57.1,1.5,3,91,83.8,19.6,48.3,52.5,7.5,17,13.5,28.3,1.4,3.7,20.1,82-154,0.532,3.9,11-50,0.22
1220,Sr,6-0,Nevaeh Zavala,High Point,BSth,68.2,1.5,-0.3,106.3,95.5,14.2,55.8,57.8,4,12.5,8.1,17.8,1.1,1.5,18.2,70-115,0.609,5.4,27-83,0.325
1221,Jr,6-4,Savannah Scott,UCF,B12,33.7,1.5,0.8,105.6,90.7,19.6,57,61,13.7,15.8,7.5,24.3,3.1,0.6,35.5,61-106,0.575,0.1,0-1,0
1222,Sr,6-0,Elise Turrubiates,South Dakota,Sum,78,1.5,2.1,98.9,87.2,15.9,45.3,49.5,7.3,18.3,8.1,18.6,1.4,2.1,23,64-162,0.395,4.7,31-82,0.378
1223,Sr,6-0,Wynter Rogers,Arkansas St.,SB,58.3,1.5,1.4,105.2,85.2,14.3,49.2,51.3,11.9,14.6,8.1,18.7,2.2,2.7,45.4,90-182,0.495,0.1,0-1,0
1224,Sr,5-8,Chaé Harris,Memphis,Amer,43.4,1.5,3.9,86.9,88.9,26.7,42.8,44.2,1.8,8.9,11.2,12.2,2.5,3,19.7,61-137,0.445,14,39-142,0.275
1225,Jr,5-6,Aubrie Kierscht,USC Upstate,BSth,61.1,1.5,-3.1,97.7,107.8,20.3,51.4,53.9,1,8.6,7,23.5,0,1.1,14.2,35-88,0.398,13.2,61-158,0.386
1226,Jr,5-11,Ja'Mia Harris,Auburn,SEC,64,1.5,1.8,86.6,84.1,19.9,40.2,46.8,4,11.2,14.2,24.6,1.3,2.6,36.4,42-104,0.404,8.2,31-116,0.267
1227,Jr,6-1,Mikayla Johnson,Pittsburgh,ACC,72.1,1.5,-4.8,81.2,101.5,26.9,37.3,42.2,4.9,11.7,8.7,18.2,0.9,1.3,25.6,98-262,0.374,7.9,30-121,0.248
1228,Fr,6-3,Natalie Wetzel,Miami FL,ACC,44.3,1.5,4.3,109.9,85.1,11.5,53.4,55.2,3.8,16.8,5.4,15.1,1.8,1.2,16.8,32-55,0.582,6.2,21-64,0.328
1229,Jr,5-11,Inés Monteagudo,Boston University,Pat,51.5,1.5,-1.9,105.6,110.2,15.9,59.9,59.7,0.9,7.2,17.8,21.8,0.6,1.5,3.4,8-19,0.421,13.3,53-127,0.417
1230,Sr,5-5,Marie Sepp,Morehead St.,OVC,77.7,1.5,-1.5,88.5,96.4,22.2,45.4,47.5,4,12.4,29.7,24.9,0.3,2.2,27.9,94-178,0.528,6,23-105,0.219
1231,So,5-8,Mackenzie Blackford,Duquesne,A10,81.2,1.5,-0.2,93.4,97.8,17.6,45.3,47.5,2.7,6.3,10.8,20.2,0.2,2.1,13.9,29-90,0.322,12.2,70-206,0.34
1232,Jr,5-5,Gentry Baldwin,Oral Roberts,Sum,74.1,1.5,-2.2,95.2,102.9,17.8,48.5,51.5,1.7,7.3,14.8,21.7,0,2.5,14.1,55-120,0.458,7.5,39-114,0.342
1233,Sr,5-9,Jaila Lee,UNC Greensboro,SC,62.5,1.5,-2.7,92.5,100.6,21.1,39.2,45.8,6.3,9.2,14.2,18,0.8,1.5,26,47-121,0.388,7.9,22-83,0.265
1234,So,6-3,Tatum Greene,Florida St.,ACC,65.5,1.5,2.7,95.7,90.4,13.8,41.4,46.7,7.7,13.3,6.7,19.2,3.2,2.1,29.4,52-118,0.441,4,15-62,0.242
1235,Sr,5-7,Wyvette Mayberry,Arkansas,SEC,48.6,1.5,1.3,92.8,90.9,17.1,42.4,47.3,0.9,5.8,14.6,20.3,0.3,2.7,23.4,24-74,0.324,9.3,36-110,0.327
1236,Sr,5-9,Tierney Coleman,North Carolina Centr,MEAC,40.7,1.5,2.9,99.2,91.1,18.5,51.7,56.7,4.9,11.1,27.1,25.6,1.1,4,37,24-61,0.393,6.7,25-58,0.431
1237,Sr,5-8,Marina Asensio,Utah St.,MWC,34.4,1.5,-0.5,85.1,99.2,23.8,41.4,45.3,0.8,6.8,26.8,20.1,1,3.2,21.6,23-58,0.397,11.7,23-81,0.284
1238,Fr,6-7,Alicia Tournebize,South Carolina,SEC,15.4,1.5,4.5,100.4,66.3,18,46.1,47.3,9.1,18.2,5,16.8,4.9,1.2,22.4,29-61,0.475,3.5,4-15,0.267
1239,Fr,6-2,Tamia Watkins,Elon,CAA,48,1.5,0.1,100.3,93.5,21,47,50.7,11.9,20,10.7,20.5,2.5,2.1,25.4,91-189,0.481,0.8,1-8,0.125
1240,Sr,6-4,Jaida Belton,Alabama A&M,SWAC,50.6,1.5,2.7,100,82.1,21.6,51.4,53.6,17.4,20.5,8.5,21.9,6,2.9,42,90-178,0.506,0.3,2-3,0.667
1241,Fr,5-7,Sofia Wilson,Mercyhurst,NEC,78.5,1.5,-3.7,91.4,113.8,23.6,45.7,48.3,2.3,10.1,24.8,21.4,0.1,3.4,20.1,86-199,0.432,8.7,49-150,0.327
1242,Jr,5-9,Denika Lightbourne,FIU,CUSA,31.9,1.5,0.1,91.5,92.3,27,53.5,57.5,3.7,16.7,23.9,32.4,0.8,2.5,47.6,66-121,0.545,2.9,7-22,0.318
1243,Sr,5-7,Jazzy Owens-Barnett,North Texas,Amer,54.1,1.5,-0.3,92.8,89.5,20.9,36.3,49,2.1,8,17.8,24.9,0.3,2.2,67.8,56-159,0.352,2,7-24,0.292
1244,Sr,5-9,Mya Petticord,Auburn,SEC,57.1,1.5,0.2,89.1,89,18.8,42,46.5,1.5,8.1,6.9,18.2,0.2,1.3,19.1,41-103,0.398,10.1,37-127,0.291
1245,So,5-9,Meri Kanerva,Xavier,BE,95.8,1.5,-1.5,86.1,95.7,18.6,43.3,45.4,1,6.2,22.6,23,0.4,1.7,10.6,71-169,0.42,7.7,45-151,0.298
1246,Jr,5-11,Layla Gold,Oakland,Horz,79.2,1.5,-1.6,92.1,103.9,18.6,39.5,43.5,4.8,13.9,10.3,14.1,3.7,1.3,24.4,70-184,0.38,7,32-115,0.278
1247,So,6-0,Quinn Eubank,Belmont,MVC,70,1.5,0.2,104,89.2,13.1,51.8,53.8,6.9,18,6.2,18.4,1.2,1.8,17.4,55-120,0.458,4.3,29-70,0.414
1248,Sr,6-1,Lauren Beach,Fairfield,MAAC,33.1,1.5,3.2,121,85.2,11,70.9,72.7,8.1,13.6,7,26.3,0.5,2.6,45.5,39-50,0.78,0.7,0-5,0
1249,So,6-1,Lauren Gerken,Bowling Green,MAC,67.8,1.5,1.7,92.8,93.6,19.8,43.3,47.1,4.6,13.6,8.9,16.3,6.8,1.8,18.3,43-83,0.518,13.4,47-179,0.263
1250,So,6-4,Edie Clarke,Saint Mary's,WCC,60.3,1.5,6.1,93.3,84.1,20.1,51.6,53,9.6,14.1,19.5,27.5,5,4.9,20,86-166,0.518,2,8-24,0.333
1251,Jr,6-2,Taylor Smith,Gonzaga,WCC,56.6,1.5,3.9,98.3,87.9,16.9,48.6,51.1,7.5,10.9,21.4,29.6,2.7,2.7,15.5,83-157,0.529,1.3,1-17,0.059
1252,Sr,5-8,Jada Leonard,Cleveland St.,Horz,78.4,1.5,-0.1,90.4,91.2,22.4,40.3,47.1,1.8,5.4,18.4,22.9,0.1,5,34.7,90-221,0.407,6.7,33-125,0.264
1253,Fr,5-9,Lev Feiman,UC San Diego,BW,31.8,1.5,3.5,104.8,90,20.7,52,55.4,3.4,9.5,10.5,13.1,1.1,3.5,17.2,56-115,0.487,4.9,15-36,0.417
1254,Fr,5-8,Hila Karsh,Purdue,B10,64.4,1.5,-0.3,91.3,94.9,17,43.2,45.2,1.5,7.6,17,20.8,0.3,1.5,7.2,46-112,0.411,8,33-109,0.303
1255,Jr,6-1,Laila Hull,North Carolina,ACC,26.2,1.5,8.9,111.9,75.3,16.1,50.9,52.2,4.5,12.6,10.7,14,3,2.8,11.4,10-20,0.5,14.2,32-94,0.34
1256,Jr,6-6,Alex Covill,Washington St.,WCC,35.1,1.5,-2.8,89.1,101.5,24.8,51.6,57.6,5.7,15,3.4,28.5,7.5,1,37.3,83-161,0.516,0,0-0,0
1257,Jr,5-3,Monet Dance,William & Mary,CAA,80.1,1.5,0.1,93.2,94.7,19.8,39.8,44.9,3.3,8.4,22.9,18.6,0,3.4,27.8,59-165,0.358,7.3,36-119,0.303
1258,Sr,5-10,Kaylee Headrick,Utah Valley,WAC,66,1.5,0.2,91.8,88.3,21.2,44.8,50,6.3,20.2,15,20.7,1.9,2.7,38.2,88-195,0.451,2.8,11-38,0.289
1259,Jr,5-5,Alonya Waldon,North Florida,ASun,53.1,1.5,-2,85.8,98.8,30.6,46.7,53.9,2.5,10.4,25.5,31.7,0.5,3.6,53.3,61-132,0.462,7.7,26-82,0.317
1260,Sr,5-9,Astera Tuhina,Oregon,B10,34,1.5,5.1,106,82.5,15.2,50,53,0.2,8,18.1,16.3,0.8,2.5,14.1,34-70,0.486,6.5,20-58,0.345
1261,Sr,5-10,Demetria Prewitt,Central Michigan,MAC,57.9,1.5,1.9,97.8,91.6,18.1,50,52.3,7.5,12.3,10,23.7,4.7,1.6,32.3,93-185,0.503,0.1,0-1,0
1262,So,5-11,Erin Martin,Tennessee St.,OVC,62.5,1.5,0.6,95.8,99.7,19.3,48.1,51.5,9.4,14,12.5,21.1,4.1,2.9,31.5,80-167,0.479,3.4,15-46,0.326
1263,Sr,5-6,Janelle Brown,Fairfield,MAAC,44.6,1.5,2.3,97.4,82.3,20.1,49.7,51.9,4.4,11.5,24.6,27.4,0.6,4.6,25.2,38-76,0.5,6.6,22-67,0.328
1264,Sr,5-9,Nahawa Diarra,Mercer,SC,79,1.5,-1.3,92.4,98.5,21.4,39.9,46.1,4.7,13.5,14,18.1,0.1,3.1,34.4,64-193,0.332,6.2,34-95,0.358
1265,Sr,5-6,Caelan Ellis,Charleston Southern,BSth,80.8,1.5,-5.1,89.1,115,22.3,45.5,47.7,0.8,5,11.3,15.4,0,1.1,12.9,55-151,0.364,12.9,74-214,0.346
1266,Sr,5-6,Bella Weary,Arkansas St.,SB,42.8,1.5,4.8,98.5,81.5,22.6,49.8,54.3,5.2,12.9,14.5,24.3,0.2,5.2,40.9,69-137,0.504,6.9,27-83,0.325
1267,Sr,6-0,Sophia Tougas,Charleston,CAA,66,1.5,-0.2,99.7,95.8,16.6,45.8,47.2,2.7,8.3,3,14.5,1.4,2,10.1,28-82,0.341,13.8,66-195,0.338
1268,Jr,5-9,Safi Kolliegbo,Delaware,CUSA,61.5,1.5,0.2,93,95,19.8,46.7,51.3,4.3,7.4,9.7,21.9,0.4,3.7,31.7,82-173,0.474,3.8,15-51,0.294
1269,Jr,5-5,Grace O'Gara,West Georgia,ASun,88.4,1.5,-1.3,96.3,106.5,16.6,45.2,49.7,3.9,7.6,17.7,24.5,0.5,2.3,30.7,49-97,0.505,7.6,40-144,0.278
1270,So,6-2,Breanna Williams,Maryland,B10,18.4,1.5,5.1,112.3,80.5,21.8,51.4,59,11.5,19,6.8,21.5,2.1,1.8,75,31-57,0.544,3.4,4-15,0.267
1271,Fr,5-10,Ally Timm,DePaul,BE,52.8,1.5,-0.7,96.3,99.9,16.8,47.8,49.2,0.4,3.6,10.3,16.1,0.3,1.7,8.7,19-54,0.352,14.6,61-177,0.345
1272,So,6-1,Sofia Ceppellotti,North Alabama,ASun,73.5,1.5,-1.5,95.7,99.3,17.7,49.6,53,2.6,12.6,8.3,20.1,1.4,1.1,23.5,70-131,0.534,7.7,35-116,0.302
1273,Sr,5-11,Brooklyn McDaniel,Jacksonville St.,CUSA,63.8,1.5,-3.4,92,100,22.1,48.8,53,6.4,13.7,10,25.8,0.3,0.6,45.3,84-169,0.497,2.8,10-34,0.294
1274,Jr,5-11,Saray White,Cal St. Northridge,BW,65.2,1.5,1.4,91.1,94.3,22.6,46.7,52.2,4.8,10.9,16.5,25.4,3.7,3.5,50.2,69-155,0.445,5.1,24-70,0.343
1275,Sr,5-10,Macy Silvey,SIU Edwardsville,OVC,76.8,1.5,0,99.8,98.1,16.1,46.9,47.8,1.9,12.1,6.6,11.3,0.2,1.1,6.8,27-70,0.386,14,69-208,0.332
1276,So,5-5,Rita Nazario,Cal St. Northridge,BW,64.3,1.5,0,95.1,100.3,19.6,49.4,53.3,2.2,6.7,11,22,0.4,2.5,21.8,28-61,0.459,13.3,60-178,0.337
1277,Sr,5-7,Anala Nelson,East Tennessee St.,SC,72.9,1.5,-1.5,85.7,93.7,27.4,34.2,44.8,2.1,12.3,23.1,21.7,0.1,2.2,56,83-237,0.35,3.9,11-54,0.204
1278,Sr,6-0,Emily Adams,Air Force,MWC,64.3,1.5,-1.7,87.9,94.1,23.7,43.2,47.5,7.2,17.3,10.7,21.7,1.2,2.3,28.7,122-292,0.418,0.5,5-8,0.625
1279,Sr,5-11,Hallie Rhodes,San Diego,WCC,67,1.5,-0.2,87.6,96.2,21.9,40.5,43,2.9,9.5,14.9,17.4,2,2.2,18.2,106-265,0.4,4.1,17-60,0.283
1280,So,5-9,Camryn Collins,Northeastern,CAA,68.9,1.5,-3.1,89.6,105.9,24,44.1,48.4,3.1,7.3,13.3,22.4,0.3,2.5,27.5,94-221,0.425,5.4,24-74,0.324
1281,Jr,5-10,Kyra Perkins,Austin Peay,ASun,43,1.5,1.2,99.2,89.2,22.8,42.9,48.5,7.4,12,9.4,18.4,1.7,3.8,32.6,47-112,0.42,8.8,23-78,0.295
